Title,"HE student enrolments by level of study, first year marker, mode of study, sex and country of HE provider",,,,,,
Total postgraduate,All,All,England,Female,2019/20,307665,26%
Total postgraduate,All,All,England,Male,2019/20,221945,25%
Total postgraduate,All,All,England,Not known,2019/20,0,..
Total postgraduate,All,All,England,Other,2019/20,1155,41%
Total postgraduate,All,All,Northern Ireland,All,2015/16,10675,19%
Total postgraduate,All,All,Northern Ireland,Female,2015/16,6465,21%
Total postgraduate,All,All,Northern Ireland,Male,2015/16,4210,18%
Total postgraduate,All,All,Northern Ireland,Other,2015/16,0,..
Total postgraduate,All,All,Northern Ireland,All,2016/17,10935,20%
Total postgraduate,All,All,Northern Ireland,Female,2016/17,6600,21%
Total postgraduate,All,All,Northern Ireland,Male,2016/17,4340,18%
Total postgraduate,All,All,Northern Ireland,Other,2016/17,0,..
Total postgraduate,All,All,Northern Ireland,All,2017/18,11650,21%
Total postgraduate,All,All,Northern Ireland,Female,2017/18,7135,23%
Total postgraduate,All,All,Northern Ireland,Male,2017/18,4515,19%
Total postgraduate,All,All,Northern Ireland,Other,2017/18,0,..
Total postgraduate,All,All,Northern Ireland,All,2018/19,12655,23%
Total postgraduate,All,All,Northern Ireland,Female,2018/19,7900,24%
Total postgraduate,All,All,Northern Ireland,Male,2018/19,4755,20%
Total postgraduate,All,All,Northern Ireland,Other,2018/19,0,..
Total postgraduate,All,All,Northern Ireland,All,2019/20,13955,24%
Total postgraduate,All,All,Northern Ireland,Female,2019/20,8400,24%
Total postgraduate,All,All,Northern Ireland,Male,2019/20,5555,23%
Total postgraduate,All,All,Northern Ireland,Other,2019/20,0,..
Total postgraduate,All,All,Scotland,All,2015/16,56715,24%
Total postgraduate,All,All,Scotland,Female,2015/16,31880,23%
Total postgraduate,All,All,Scotland,Male,2015/16,24795,25%
Total postgraduate,All,All,Scotland,Other,2015/16,35,32%
Total postgraduate,All,All,Scotland,All,2016/17,58825,24%
Total postgraduate,All,All,Scotland,Female,2016/17,33705,24%
Total postgraduate,All,All,Scotland,Male,2016/17,25060,25%
Total postgraduate,All,All,Scotland,Other,2016/17,65,30%
Total postgraduate,All,All,Scotland,All,2017/18,61635,25%
Total postgraduate,All,All,Scotland,Female,2017/18,35655,25%
Total postgraduate,All,All,Scotland,Male,2017/18,25900,25%
Total postgraduate,All,All,Scotland,Other,2017/18,80,22%
Total postgraduate,All,All,Scotland,All,2018/19,64320,25%
Total postgraduate,All,All,Scotland,Female,2018/19,37425,25%
Total postgraduate,All,All,Scotland,Male,2018/19,26725,26%
Total postgraduate,All,All,Scotland,Other,2018/19,170,23%
Total postgraduate,All,All,Scotland,All,2019/20,68960,26%
Total postgraduate,All,All,Scotland,Female,2019/20,40290,26%
Total postgraduate,All,All,Scotland,Male,2019/20,28360,27%
Total postgraduate,All,All,Scotland,Other,2019/20,310,38%
Total postgraduate,All,All,Wales,All,2015/16,25200,20%
Total postgraduate,All,All,Wales,Female,2015/16,13915,20%
Total postgraduate,All,All,Wales,Male,2015/16,11280,19%
Total postgraduate,All,All,Wales,Other,2015/16,10,17%
Total postgraduate,All,All,Wales,All,2016/17,24365,19%
Total postgraduate,All,All,Wales,Female,2016/17,13785,19%
Total postgraduate,All,All,Wales,Male,2016/17,10560,18%
Total postgraduate,All,All,Wales,Other,2016/17,15,20%
Total postgraduate,All,All,Wales,All,2017/18,25205,19%
Total postgraduate,All,All,Wales,Female,2017/18,14570,20%
Total postgraduate,All,All,Wales,Male,2017/18,10610,18%
Total postgraduate,All,All,Wales,Other,2017/18,25,22%
Total postgraduate,All,All,Wales,All,2018/19,26755,20%
Total postgraduate,All,All,Wales,Female,2018/19,15765,21%
Total postgraduate,All,All,Wales,Male,2018/19,10950,19%
Total postgraduate,All,All,Wales,Other,2018/19,40,25%
Total postgraduate,All,All,Wales,All,2019/20,29240,21%
Total postgraduate,All,All,Wales,Female,2019/20,16780,22%
Total postgraduate,All,All,Wales,Male,2019/20,12410,21%
Total postgraduate,All,All,Wales,Other,2019/20,45,24%
Total postgraduate,All,Full-time,All,All,2015/16,303565,17%
Total postgraduate,All,Full-time,All,Female,2015/16,166135,17%
Total postgraduate,All,Full-time,All,Male,2015/16,137320,17%
Total postgraduate,All,Full-time,All,Not known,2015/16,20,6%
Total postgraduate,All,Full-time,All,Other,2015/16,85,22%
Total postgraduate,All,Full-time,All,All,2016/17,324445,18%
Total postgraduate,All,Full-time,All,Female,2016/17,180125,18%
Total postgraduate,All,Full-time,All,Male,2016/17,144070,18%
Total postgraduate,All,Full-time,All,Not known,2016/17,10,7%
Total postgraduate,All,Full-time,All,Other,2016/17,240,31%
Total postgraduate,All,Full-time,All,All,2017/18,347990,18%
Total postgraduate,All,Full-time,All,Female,2017/18,196945,19%
Total postgraduate,All,Full-time,All,Male,2017/18,150580,18%
Total postgraduate,All,Full-time,All,Not known,2017/18,0,0%
Total postgraduate,All,Full-time,All,Other,2017/18,460,39%
Total postgraduate,All,Full-time,All,All,2018/19,365720,19%
Total postgraduate,All,Full-time,All,Female,2018/19,208210,19%
Total postgraduate,All,Full-time,All,Male,2018/19,156850,19%
Total postgraduate,All,Full-time,All,Not known,2018/19,25,9%
Total postgraduate,All,Full-time,All,Other,2018/19,635,37%
Total postgraduate,All,Full-time,All,All,2019/20,403945,20%
Total postgraduate,All,Full-time,All,Female,2019/20,226450,20%
Total postgraduate,All,Full-time,All,Male,2019/20,176610,20%
Total postgraduate,All,Full-time,All,Not known,2019/20,0,..
Total postgraduate,All,Full-time,All,Other,2019/20,885,36%
Total postgraduate,All,Full-time,England,All,2015/16,250550,17%
Total postgraduate,All,Full-time,England,Female,2015/16,137905,17%
Total postgraduate,All,Full-time,England,Male,2015/16,112570,17%
Total postgraduate,All,Full-time,England,Not known,2015/16,20,6%
Total postgraduate,All,Full-time,England,Other,2015/16,55,20%
Total postgraduate,All,Full-time,England,All,2016/17,269735,18%
Total postgraduate,All,Full-time,England,Female,2016/17,150255,18%
Total postgraduate,All,Full-time,England,Male,2016/17,119290,17%
Total postgraduate,All,Full-time,England,Not known,2016/17,10,7%
Total postgraduate,All,Full-time,England,Other,2016/17,185,32%
Total postgraduate,All,Full-time,England,All,2017/18,288490,18%
Total postgraduate,All,Full-time,England,Female,2017/18,163835,19%
Total postgraduate,All,Full-time,England,Male,2017/18,124270,18%
Total postgraduate,All,Full-time,England,Not known,2017/18,0,0%
Total postgraduate,All,Full-time,England,Other,2017/18,390,41%
Total postgraduate,All,Full-time,England,All,2018/19,302055,19%
Total postgraduate,All,Full-time,England,Female,2018/19,172465,19%
Total postgraduate,All,Full-time,England,Male,2018/19,129070,18%
Total postgraduate,All,Full-time,England,Not known,2018/19,25,9%
Total postgraduate,All,Full-time,England,Other,2018/19,495,37%
Total postgraduate,All,Full-time,England,All,2019/20,334190,20%
Total postgraduate,All,Full-time,England,Female,2019/20,187840,20%
Total postgraduate,All,Full-time,England,Male,2019/20,145710,20%
Total postgraduate,All,Full-time,England,Not known,2019/20,0,..
Total postgraduate,All,Full-time,England,Other,2019/20,645,34%
Total postgraduate,All,Full-time,Northern Ireland,All,2015/16,4750,13%
Total postgraduate,All,Full-time,Northern Ireland,Female,2015/16,2565,12%
Total postgraduate,All,Full-time,Northern Ireland,Male,2015/16,2185,13%
Total postgraduate,All,Full-time,Northern Ireland,Other,2015/16,0,..
Total postgraduate,All,Full-time,Northern Ireland,All,2016/17,4940,13%
Total postgraduate,All,Full-time,Northern Ireland,Female,2016/17,2630,13%
Total postgraduate,All,Full-time,Northern Ireland,Male,2016/17,2310,13%
Total postgraduate,All,Full-time,Northern Ireland,Other,2016/17,0,..
Total postgraduate,All,Full-time,Northern Ireland,All,2017/18,5665,15%
Total postgraduate,All,Full-time,Northern Ireland,Female,2017/18,3185,15%
Total postgraduate,All,Full-time,Northern Ireland,Male,2017/18,2480,15%
Total postgraduate,All,Full-time,Northern Ireland,Other,2017/18,0,..
Total postgraduate,All,Full-time,Northern Ireland,All,2018/19,5720,15%
Total postgraduate,All,Full-time,Northern Ireland,Female,2018/19,3270,15%
Total postgraduate,All,Full-time,Northern Ireland,Male,2018/19,2445,15%
Total postgraduate,All,Full-time,Northern Ireland,Other,2018/19,0,..
Total postgraduate,All,Full-time,Northern Ireland,All,2019/20,6615,17%
Total postgraduate,All,Full-time,Northern Ireland,Female,2019/20,3670,17%
Total postgraduate,All,Full-time,Northern Ireland,Male,2019/20,2945,18%
Total postgraduate,All,Full-time,Northern Ireland,Other,2019/20,0,..
Total postgraduate,All,Full-time,Scotland,All,2015/16,34715,19%
Total postgraduate,All,Full-time,Scotland,Female,2015/16,18835,18%
Total postgraduate,All,Full-time,Scotland,Male,2015/16,15855,21%
Total postgraduate,All,Full-time,Scotland,Other,2015/16,25,27%
Total postgraduate,All,Full-time,Scotland,All,2016/17,36495,20%
Total postgraduate,All,Full-time,Scotland,Female,2016/17,20240,19%
Total postgraduate,All,Full-time,Scotland,Male,2016/17,16210,21%
Total postgraduate,All,Full-time,Scotland,Other,2016/17,45,37%
Total postgraduate,All,Full-time,Scotland,All,2017/18,39410,21%
Total postgraduate,All,Full-time,Scotland,Female,2017/18,22140,20%
Total postgraduate,All,Full-time,Scotland,Male,2017/18,17215,22%
Total postgraduate,All,Full-time,Scotland,Other,2017/18,55,33%
Total postgraduate,All,Full-time,Scotland,All,2018/19,42190,22%
Total postgraduate,All,Full-time,Scotland,Female,2018/19,23830,21%
Total postgraduate,All,Full-time,Scotland,Male,2018/19,18245,22%
Total postgraduate,All,Full-time,Scotland,Other,2018/19,115,40%
Total postgraduate,All,Full-time,Scotland,All,2019/20,45170,22%
Total postgraduate,All,Full-time,Scotland,Female,2019/20,25405,22%
Total postgraduate,All,Full-time,Scotland,Male,2019/20,19550,23%
Total postgraduate,All,Full-time,Scotland,Other,2019/20,220,54%
Total postgraduate,All,Full-time,Wales,All,2015/16,13550,15%
Total postgraduate,All,Full-time,Wales,Female,2015/16,6830,14%
Total postgraduate,All,Full-time,Wales,Male,2015/16,6715,15%
Total postgraduate,All,Full-time,Wales,Other,2015/16,5,18%
Total postgraduate,All,Full-time,Wales,All,2016/17,13270,14%
Total postgraduate,All,Full-time,Wales,Female,2016/17,7000,14%
Total postgraduate,All,Full-time,Wales,Male,2016/17,6260,14%
Total postgraduate,All,Full-time,Wales,Other,2016/17,10,14%
Total postgraduate,All,Full-time,Wales,All,2017/18,14420,15%
Total postgraduate,All,Full-time,Wales,Female,2017/18,7785,15%
Total postgraduate,All,Full-time,Wales,Male,2017/18,6615,15%
Total postgraduate,All,Full-time,Wales,Other,2017/18,15,20%
Total postgraduate,All,Full-time,Wales,All,2018/19,15755,16%
Total postgraduate,All,Full-time,Wales,Female,2018/19,8640,16%
Total postgraduate,All,Full-time,Wales,Male,2018/19,7090,16%
Total postgraduate,All,Full-time,Wales,Other,2018/19,25,21%
Total postgraduate,All,Full-time,Wales,All,2019/20,17970,18%
Total postgraduate,All,Full-time,Wales,Female,2019/20,9540,17%
Total postgraduate,All,Full-time,Wales,Male,2019/20,8410,19%
Total postgraduate,All,Full-time,Wales,Other,2019/20,20,13%
Total postgraduate,All,Part-time,All,All,2015/16,227690,42%
Total postgraduate,All,Part-time,All,Female,2015/16,136605,41%
Total postgraduate,All,Part-time,All,Male,2015/16,91025,42%
Total postgraduate,All,Part-time,All,Not known,2015/16,0,..
Total postgraduate,All,Part-time,All,Other,2015/16,60,57%
Total postgraduate,All,Part-time,All,All,2016/17,233965,44%
Total postgraduate,All,Part-time,All,Female,2016/17,141460,44%
Total postgraduate,All,Part-time,All,Male,2016/17,92325,44%
Total postgraduate,All,Part-time,All,Not known,2016/17,0,..
Total postgraduate,All,Part-time,All,Other,2016/17,180,60%
Total postgraduate,All,Part-time,All,All,2017/18,234470,46%
Total postgraduate,All,Part-time,All,Female,2017/18,142650,46%
Total postgraduate,All,Part-time,All,Male,2017/18,91540,45%
Total postgraduate,All,Part-time,All,Not known,2017/18,10,..
Total postgraduate,All,Part-time,All,Other,2017/18,275,49%
Total postgraduate,All,Part-time,All,All,2018/19,237285,46%
Total postgraduate,All,Part-time,All,Female,2018/19,145385,47%
Total postgraduate,All,Part-time,All,Male,2018/19,91500,45%
Total postgraduate,All,Part-time,All,Not known,2018/19,5,..
Total postgraduate,All,Part-time,All,Other,2018/19,390,42%
Total postgraduate,All,Part-time,All,All,2019/20,238965,46%
Total postgraduate,All,Part-time,All,Female,2019/20,146680,47%
Total postgraduate,All,Part-time,All,Male,2019/20,91655,45%
Total postgraduate,All,Part-time,All,Not known,2019/20,0,..
Total postgraduate,All,Part-time,All,Other,2019/20,630,45%
Total postgraduate,All,Part-time,England,All,2015/16,188115,43%
Total postgraduate,All,Part-time,England,Female,2015/16,112570,43%
Total postgraduate,All,Part-time,England,Male,2015/16,75495,44%
Total postgraduate,All,Part-time,England,Not known,2015/16,0,..
Total postgraduate,All,Part-time,England,Other,2015/16,50,62%
Total postgraduate,All,Part-time,England,All,2016/17,194545,46%
Total postgraduate,All,Part-time,England,Female,2016/17,117240,47%
Total postgraduate,All,Part-time,England,Male,2016/17,77150,46%
Total postgraduate,All,Part-time,England,Not known,2016/17,0,..
Total postgraduate,All,Part-time,England,Other,2016/17,155,78%
Total postgraduate,All,Part-time,England,All,2017/18,195475,48%
Total postgraduate,All,Part-time,England,Female,2017/18,118395,49%
Total postgraduate,All,Part-time,England,Male,2017/18,76825,48%
Total postgraduate,All,Part-time,England,Not known,2017/18,10,..
Total postgraduate,All,Part-time,England,Other,2017/18,245,71%
Total postgraduate,All,Part-time,England,All,2018/19,197225,49%
Total postgraduate,All,Part-time,England,Female,2018/19,120040,49%
Total postgraduate,All,Part-time,England,Male,2018/19,76855,47%
Total postgraduate,All,Part-time,England,Not known,2018/19,5,..
Total postgraduate,All,Part-time,England,Other,2018/19,320,72%
Total postgraduate,All,Part-time,England,All,2019/20,196570,49%
Total postgraduate,All,Part-time,England,Female,2019/20,119825,50%
Total postgraduate,All,Part-time,England,Male,2019/20,76235,47%
Total postgraduate,All,Part-time,England,Not known,2019/20,0,..
Total postgraduate,All,Part-time,England,Other,2019/20,510,55%
Total postgraduate,All,Part-time,Northern Ireland,All,2015/16,5925,33%
Total postgraduate,All,Part-time,Northern Ireland,Female,2015/16,3900,36%
Total postgraduate,All,Part-time,Northern Ireland,Male,2015/16,2025,29%
Total postgraduate,All,Part-time,Northern Ireland,All,2016/17,5995,36%
Total postgraduate,All,Part-time,Northern Ireland,Female,2016/17,3965,38%
Total postgraduate,All,Part-time,Northern Ireland,Male,2016/17,2030,32%
Total postgraduate,All,Part-time,Northern Ireland,All,2017/18,5985,36%
Total postgraduate,All,Part-time,Northern Ireland,Female,2017/18,3950,39%
Total postgraduate,All,Part-time,Northern Ireland,Male,2017/18,2035,32%
Total postgraduate,All,Part-time,Northern Ireland,All,2018/19,6935,39%
Total postgraduate,All,Part-time,Northern Ireland,Female,2018/19,4625,42%
Total postgraduate,All,Part-time,Northern Ireland,Male,2018/19,2305,34%
Total postgraduate,All,Part-time,Northern Ireland,All,2019/20,7340,36%
Total postgraduate,All,Part-time,Northern Ireland,Female,2019/20,4730,36%
Total postgraduate,All,Part-time,Northern Ireland,Male,2019/20,2610,35%
Total postgraduate,All,Part-time,Scotland,All,2015/16,21995,39%
Total postgraduate,All,Part-time,Scotland,Female,2015/16,13045,38%
Total postgraduate,All,Part-time,Scotland,Male,2015/16,8940,41%
Total postgraduate,All,Part-time,Scotland,Other,2015/16,10,..
Total postgraduate,All,Part-time,Scotland,All,2016/17,22330,38%
Total postgraduate,All,Part-time,Scotland,Female,2016/17,13465,38%
Total postgraduate,All,Part-time,Scotland,Male,2016/17,8850,39%
Total postgraduate,All,Part-time,Scotland,Other,2016/17,15,20%
Total postgraduate,All,Part-time,Scotland,All,2017/18,22225,39%
Total postgraduate,All,Part-time,Scotland,Female,2017/18,13515,39%
Total postgraduate,All,Part-time,Scotland,Male,2017/18,8685,39%
Total postgraduate,All,Part-time,Scotland,Other,2017/18,20,11%
Total postgraduate,All,Part-time,Scotland,All,2018/19,22125,38%
Total postgraduate,All,Part-time,Scotland,Female,2018/19,13595,38%
Total postgraduate,All,Part-time,Scotland,Male,2018/19,8480,39%
Total postgraduate,All,Part-time,Scotland,Other,2018/19,55,13%
Total postgraduate,All,Part-time,Scotland,All,2019/20,23790,40%
Total postgraduate,All,Part-time,Scotland,Female,2019/20,14885,40%
Total postgraduate,All,Part-time,Scotland,Male,2019/20,8810,40%
Total postgraduate,All,Part-time,Scotland,Other,2019/20,95,23%
Total postgraduate,All,Part-time,Wales,All,2015/16,11655,32%
Total postgraduate,All,Part-time,Wales,Female,2015/16,7090,32%
Total postgraduate,All,Part-time,Wales,Male,2015/16,4565,31%
Total postgraduate,All,Part-time,Wales,Other,2015/16,0,..
Total postgraduate,All,Part-time,Wales,All,2016/17,11090,31%
Total postgraduate,All,Part-time,Wales,Female,2016/17,6785,32%
Total postgraduate,All,Part-time,Wales,Male,2016/17,4300,30%
Total postgraduate,All,Part-time,Wales,Other,2016/17,10,..
Total postgraduate,All,Part-time,Wales,All,2017/18,10785,32%
Total postgraduate,All,Part-time,Wales,Female,2017/18,6785,33%
Total postgraduate,All,Part-time,Wales,Male,2017/18,3995,30%
Total postgraduate,All,Part-time,Wales,Other,2017/18,10,26%
Total postgraduate,All,Part-time,Wales,All,2018/19,11005,31%
Total postgraduate,All,Part-time,Wales,Female,2018/19,7125,33%
Total postgraduate,All,Part-time,Wales,Male,2018/19,3865,28%
Total postgraduate,All,Part-time,Wales,Other,2018/19,15,40%
Total postgraduate,All,Part-time,Wales,All,2019/20,11270,31%
Total postgraduate,All,Part-time,Wales,Female,2019/20,7245,33%
Total postgraduate,All,Part-time,Wales,Male,2019/20,4000,28%
Total postgraduate,All,Part-time,Wales,Other,2019/20,30,56%
Total postgraduate,First year,All,All,All,2015/16,318035,31%
Total postgraduate,First year,All,All,Female,2015/16,188580,32%
Total postgraduate,First year,All,All,Male,2015/16,129340,30%
Total postgraduate,First year,All,All,Not known,2015/16,20,13%
Total postgraduate,First year,All,All,Other,2015/16,95,35%
Total postgraduate,First year,All,All,All,2016/17,349265,33%
Total postgraduate,First year,All,All,Female,2016/17,207595,34%
Total postgraduate,First year,All,All,Male,2016/17,141340,32%
Total postgraduate,First year,All,All,Not known,2016/17,10,12%
Total postgraduate,First year,All,All,Other,2016/17,315,51%
Total postgraduate,First year,All,All,All,2017/18,368310,35%
Total postgraduate,First year,All,All,Female,2017/18,221250,36%
Total postgraduate,First year,All,All,Male,2017/18,146495,33%
Total postgraduate,First year,All,All,Not known,2017/18,5,2%
Total postgraduate,First year,All,All,Other,2017/18,565,53%
Total postgraduate,First year,All,All,All,2018/19,384850,35%
Total postgraduate,First year,All,All,Female,2018/19,231790,36%
Total postgraduate,First year,All,All,Male,2018/19,152320,34%
Total postgraduate,First year,All,All,Not known,2018/19,35,13%
Total postgraduate,First year,All,All,Other,2018/19,705,45%
Total postgraduate,First year,All,All,All,2019/20,417940,37%
Total postgraduate,First year,All,All,Female,2019/20,248310,38%
Total postgraduate,First year,All,All,Male,2019/20,168595,35%
Total postgraduate,First year,All,All,Not known,2019/20,0,..
Total postgraduate,First year,All,All,Other,2019/20,1035,46%
Total postgraduate,First year,All,England,All,2015/16,265870,32%
Total postgraduate,First year,All,England,Female,2015/16,158235,32%
Total postgraduate,First year,All,England,Male,2015/16,107545,31%
Total postgraduate,First year,All,England,Not known,2015/16,20,13%
Total postgraduate,First year,All,England,Other,2015/16,65,35%
Total postgraduate,First year,All,England,All,2016/17,293325,34%
Total postgraduate,First year,All,England,Female,2016/17,174425,35%
Total postgraduate,First year,All,England,Male,2016/17,118635,33%
Total postgraduate,First year,All,England,Not known,2016/17,10,12%
Total postgraduate,First year,All,England,Other,2016/17,255,59%
Total postgraduate,First year,All,England,All,2017/18,308050,35%
Total postgraduate,First year,All,England,Female,2017/18,185195,36%
Total postgraduate,First year,All,England,Male,2017/18,122350,33%
Total postgraduate,First year,All,England,Not known,2017/18,5,2%
Total postgraduate,First year,All,England,Other,2017/18,500,65%
Total postgraduate,First year,All,England,All,2018/19,320655,36%
Total postgraduate,First year,All,England,Female,2018/19,193045,37%
Total postgraduate,First year,All,England,Male,2018/19,127015,34%
Total postgraduate,First year,All,England,Not known,2018/19,35,13%
Total postgraduate,First year,All,England,Other,2018/19,560,60%
Total postgraduate,First year,All,England,All,2019/20,346370,37%
Total postgraduate,First year,All,England,Female,2019/20,205830,38%
Total postgraduate,First year,All,England,Male,2019/20,139780,35%
Total postgraduate,First year,All,England,Not known,2019/20,0,..
Total postgraduate,First year,All,England,Other,2019/20,760,49%
Total postgraduate,First year,All,Northern Ireland,All,2015/16,5700,25%
Total postgraduate,First year,All,Northern Ireland,Female,2015/16,3540,26%
Total postgraduate,First year,All,Northern Ireland,Male,2015/16,2155,23%
Total postgraduate,First year,All,Northern Ireland,Other,2015/16,0,..
Total postgraduate,First year,All,Northern Ireland,All,2016/17,6170,27%
Total postgraduate,First year,All,Northern Ireland,Female,2016/17,3900,28%
Total postgraduate,First year,All,Northern Ireland,Male,2016/17,2270,24%
Total postgraduate,First year,All,Northern Ireland,Other,2016/17,0,..
Total postgraduate,First year,All,Northern Ireland,All,2017/18,6930,29%
Total postgraduate,First year,All,Northern Ireland,Female,2017/18,4415,31%
Total postgraduate,First year,All,Northern Ireland,Male,2017/18,2515,27%
Total postgraduate,First year,All,Northern Ireland,Other,2017/18,0,..
Total postgraduate,First year,All,Northern Ireland,All,2018/19,7600,32%
Total postgraduate,First year,All,Northern Ireland,Female,2018/19,4900,34%
Total postgraduate,First year,All,Northern Ireland,Male,2018/19,2700,28%
Total postgraduate,First year,All,Northern Ireland,Other,2018/19,0,..
Total postgraduate,First year,All,Northern Ireland,All,2019/20,8720,31%
Total postgraduate,First year,All,Northern Ireland,Female,2019/20,5285,31%
Total postgraduate,First year,All,Northern Ireland,Male,2019/20,3435,32%
Total postgraduate,First year,All,Northern Ireland,Other,2019/20,0,..
Total postgraduate,First year,All,Scotland,All,2015/16,32805,34%
Total postgraduate,First year,All,Scotland,Female,2015/16,19110,33%
Total postgraduate,First year,All,Scotland,Male,2015/16,13675,35%
Total postgraduate,First year,All,Scotland,Other,2015/16,20,40%
Total postgraduate,First year,All,Scotland,All,2016/17,35360,35%
Total postgraduate,First year,All,Scotland,Female,2016/17,21000,35%
Total postgraduate,First year,All,Scotland,Male,2016/17,14315,35%
Total postgraduate,First year,All,Scotland,Other,2016/17,45,36%
Total postgraduate,First year,All,Scotland,All,2017/18,37970,36%
Total postgraduate,First year,All,Scotland,Female,2017/18,22690,36%
Total postgraduate,First year,All,Scotland,Male,2017/18,15230,37%
Total postgraduate,First year,All,Scotland,Other,2017/18,50,20%
Total postgraduate,First year,All,Scotland,All,2018/19,39855,37%
Total postgraduate,First year,All,Scotland,Female,2018/19,23960,37%
Total postgraduate,First year,All,Scotland,Male,2018/19,15770,38%
Total postgraduate,First year,All,Scotland,Other,2018/19,130,23%
Total postgraduate,First year,All,Scotland,All,2019/20,44435,40%
Total postgraduate,First year,All,Scotland,Female,2019/20,26770,40%
Total postgraduate,First year,All,Scotland,Male,2019/20,17415,40%
Total postgraduate,First year,All,Scotland,Other,2019/20,250,40%
Total postgraduate,First year,All,Wales,All,2015/16,13660,24%
Total postgraduate,First year,All,Wales,Female,2015/16,7690,24%
Total postgraduate,First year,All,Wales,Male,2015/16,5965,23%
Total postgraduate,First year,All,Wales,Other,2015/16,5,24%
Total postgraduate,First year,All,Wales,All,2016/17,14410,24%
Total postgraduate,First year,All,Wales,Female,2016/17,8270,24%
Total postgraduate,First year,All,Wales,Male,2016/17,6125,24%
Total postgraduate,First year,All,Wales,Other,2016/17,15,28%
Total postgraduate,First year,All,Wales,All,2017/18,15360,25%
Total postgraduate,First year,All,Wales,Female,2017/18,8950,26%
Total postgraduate,First year,All,Wales,Male,2017/18,6395,24%
Total postgraduate,First year,All,Wales,Other,2017/18,15,29%
Total postgraduate,First year,All,Wales,All,2018/19,16740,27%
Total postgraduate,First year,All,Wales,Female,2018/19,9885,27%
Total postgraduate,First year,All,Wales,Male,2018/19,6835,26%
Total postgraduate,First year,All,Wales,Other,2018/19,15,27%
Total postgraduate,First year,All,Wales,All,2019/20,18415,28%
Total postgraduate,First year,All,Wales,Female,2019/20,10425,28%
Total postgraduate,First year,All,Wales,Male,2019/20,7970,29%
Total postgraduate,First year,All,Wales,Other,2019/20,25,32%
Total postgraduate,First year,Full-time,All,All,2015/16,210925,28%
Total postgraduate,First year,Full-time,All,Female,2015/16,120225,28%
Total postgraduate,First year,Full-time,All,Male,2015/16,90620,27%
Total postgraduate,First year,Full-time,All,Not known,2015/16,20,13%
Total postgraduate,First year,Full-time,All,Other,2015/16,60,29%
Total postgraduate,First year,Full-time,All,All,2016/17,233220,29%
Total postgraduate,First year,Full-time,All,Female,2016/17,133580,30%
Total postgraduate,First year,Full-time,All,Male,2016/17,99435,29%
Total postgraduate,First year,Full-time,All,Not known,2016/17,10,12%
Total postgraduate,First year,Full-time,All,Other,2016/17,190,49%
Total postgraduate,First year,Full-time,All,All,2017/18,254545,31%
Total postgraduate,First year,Full-time,All,Female,2017/18,148270,32%
Total postgraduate,First year,Full-time,All,Male,2017/18,105880,30%
Total postgraduate,First year,Full-time,All,Not known,2017/18,0,0%
Total postgraduate,First year,Full-time,All,Other,2017/18,395,61%
Total postgraduate,First year,Full-time,All,All,2018/19,268310,32%
Total postgraduate,First year,Full-time,All,Female,2018/19,156750,33%
Total postgraduate,First year,Full-time,All,Male,2018/19,111060,31%
Total postgraduate,First year,Full-time,All,Not known,2018/19,25,11%
Total postgraduate,First year,Full-time,All,Other,2018/19,475,56%
Total postgraduate,First year,Full-time,All,All,2019/20,301265,34%
Total postgraduate,First year,Full-time,All,Female,2019/20,173085,34%
Total postgraduate,First year,Full-time,All,Male,2019/20,127535,33%
Total postgraduate,First year,Full-time,All,Not known,2019/20,0,..
Total postgraduate,First year,Full-time,All,Other,2019/20,650,54%
Total postgraduate,First year,Full-time,England,All,2015/16,175915,27%
Total postgraduate,First year,Full-time,England,Female,2015/16,100815,28%
Total postgraduate,First year,Full-time,England,Male,2015/16,75045,27%
Total postgraduate,First year,Full-time,England,Not known,2015/16,20,13%
Total postgraduate,First year,Full-time,England,Other,2015/16,35,26%
Total postgraduate,First year,Full-time,England,All,2016/17,195365,29%
Total postgraduate,First year,Full-time,England,Female,2016/17,112095,30%
Total postgraduate,First year,Full-time,England,Male,2016/17,83115,28%
Total postgraduate,First year,Full-time,England,Not known,2016/17,10,12%
Total postgraduate,First year,Full-time,England,Other,2016/17,145,48%
Total postgraduate,First year,Full-time,England,All,2017/18,212670,31%
Total postgraduate,First year,Full-time,England,Female,2017/18,124180,32%
Total postgraduate,First year,Full-time,England,Male,2017/18,88145,29%
Total postgraduate,First year,Full-time,England,Not known,2017/18,0,0%
Total postgraduate,First year,Full-time,England,Other,2017/18,345,64%
Total postgraduate,First year,Full-time,England,All,2018/19,223580,32%
Total postgraduate,First year,Full-time,England,Female,2018/19,130915,33%
Total postgraduate,First year,Full-time,England,Male,2018/19,92265,30%
Total postgraduate,First year,Full-time,England,Not known,2018/19,25,11%
Total postgraduate,First year,Full-time,England,Other,2018/19,375,57%
Total postgraduate,First year,Full-time,England,All,2019/20,251310,33%
Total postgraduate,First year,Full-time,England,Female,2019/20,144660,34%
Total postgraduate,First year,Full-time,England,Male,2019/20,106200,32%
Total postgraduate,First year,Full-time,England,Not known,2019/20,0,..
Total postgraduate,First year,Full-time,England,Other,2019/20,455,51%
Total postgraduate,First year,Full-time,Northern Ireland,All,2015/16,2755,22%
Total postgraduate,First year,Full-time,Northern Ireland,Female,2015/16,1520,22%
